,CODE,name
0,03000000,"Jordbruks-, jakt-, fiske- och skogsbruksprodukter samt tillhörande produkter"
1,03100000,Jordbruks- och trädgårdsprodukter
2,03110000,"Grödor, trädgårdshandels- och trädgårdsprodukter"
3,03111000,Frön
4,03111100,Sojabönor
5,03111200,Jordnötter
6,03111300,Solrosfrön
7,03111400,Bomullsfrön
8,03111500,Sesamfrön
9,03111600,Senapsfrön
10,03111700,Grönsaksfrön
11,03111800,Fruktfrön
12,03111900,Blomfrön
13,03112000,Råtobak
14,03113000,Växter för sockerframställning
15,03113100,Sockerbetor
16,03113200,Sockerrör
17,03114000,Halm och foderväxter
18,03114100,Halm
19,03114200,Foderväxter
20,03115000,Vegetabiliska råvaror
21,03115100,Vegetabiliska råvaror för textilframställning
22,03115110,Bomull
23,03115120,Jute
24,03115130,Lin
25,03116000,"Naturgummi, latex och tillhörande produkter"
26,03116100,Naturgummi
27,03116200,Naturlatex
28,03116300,Latexprodukter
29,03117000,Växter för särskilda ändamål
30,03117100,"Växter för framställning av parfym eller farmaceutiska produkter, eller för insektsdödande medel el dyl"
31,03117110,Växter som används inom parfymframställning
32,03117120,Växter som används för framställning av farmaceutiska produkter
33,03117130,Växter som används för framställning av insektsdödande medel
34,03117140,Växter som används för framställning av svampbekämpningsmedel el dyl
35,03117200,Växtfrön för särskilda ändamål
36,03120000,Trädgårdsväxter och plantskoleprodukter
37,03121000,Trädgårdsväxter
38,03121100,"Levande växter, lökar, rötter, skott och sticklingar"
39,03121200,Snittblommor
40,03121210,Blomsteruppsättningar
41,03130000,Dryckes- och kryddväxter
42,03131000,Dryckesväxter
43,03131100,Kaffebönor
44,03131200,Tebuskar
45,03131300,Mate
46,03131400,Kakaobönor
47,03132000,Kryddor (ej bearbetade)
48,03140000,Djurprodukter och liknande produkter
49,03141000,Tjursperma
50,03142000,Djurprodukter
51,03142100,Naturhonung
52,03142200,Sniglar
53,03142300,Animaliska livsmedel
54,03142400,Vaxer
55,03142500,Ägg
56,03143000,Produkter från blandat jordbruk
57,03144000,Jordbruksvaror
58,03200000,"Spannmål, potatis, grönsaker, frukt och nötter"
59,03210000,Spannmål och potatis
60,03211000,Spannmål
61,03211100,Vete
62,03211110,Durumvete
63,03211120,Mjukt vete
64,03211200,Majs
65,03211300,Ris
66,03211400,Korn
67,03211500,Råg
68,03211600,Havre
69,03211700,Malt
70,03211900,Spannmålsprodukter
71,03212000,Potatis och torkade grönsaker
72,03212100,Potatis
73,03212200,Torkade grönsaker och baljfrukter
74,03212210,Torkade grönsaker
75,03212211,Linser för matlagning
76,03212212,Kikärter
77,03212213,Torkade ärter
78,03212220,Baljfrukter
79,03220000,"Grönsaker, frukt och nötter"
80,03221000,Grönsaker
81,03221100,Rotfrukter och rotknölar
82,03221110,Rotfrukter
83,03221111,Rödbeta
84,03221112,Morötter
85,03221113,Lök
86,03221114,Rovor
87,03221120,Rotknölar
88,03221200,Grönsaksfrukter
89,03221210,Bönor
90,03221211,Bondbönor
91,03221212,Gröna bönor
92,03221213,Rosenbönor
93,03221220,Ärter
94,03221221,Trädgårdsärter
95,03221222,Sockerärter
96,03221230,Paprika
97,03221240,Tomater
98,03221250,Squash
99,03221260,Svamp
100,03221270,Gurka
101,03221300,Salladsväxter
102,03221310,Huvudsallat
103,03221320,Salladsblad
